country,region,reserves_US,Btu_energy,kW_electricity,%_PBI_education,reserves_level,energy_level,electricity_level,education_level
china,east and southeast asia,3265000000000,113805000,2949000000,3.6,Muy alto,Muy alto,Muy alto,Bajo
japan,east and southeast asia,1160000000000,129504000,361617000,3.4,Muy alto,Muy alto,Muy alto,Bajo
switzerland,europe,822130000000,99578000,26502000,5.2,Muy alto,Alto,Alto,Alto
russia,central asia,597217000000,224858000,301926000,3.7,Muy alto,Muy alto,Muy alto,Bajo
india,south asia,569544000000,25179000,499136000,4.5,Muy alto,Bajo,Muy alto,Medio
saudi arabia,middle east,436769000000,349692000,119620000,7.8,Muy alto,Muy alto,Muy alto,Muy alto
hong kong,east and southeast asia,425554000000,116811000,13300000,4.0,Muy alto,Muy alto,Alto,Medio
"korea, south",east and southeast asia,409457000000,234668000,151139000,4.7,Muy alto,Muy alto,Muy alto,Medio
singapore,east and southeast asia,365494000000,643259000,13134000,2.8,Muy alto,Muy alto,Alto,Muy bajo
brazil,south america,318857000000,48889000,240251000,6.0,Muy alto,Medio,Muy alto,Muy alto
united arab emirates,middle east,231690000000,450432000,44462000,3.9,Muy alto,Muy alto,Muy alto,Bajo
united states,north america,227760000000,278474000,1235000000,6.1,Muy alto,Muy alto,Muy alto,Muy alto
mexico,north america,221944000000,57539000,105586000,4.3,Muy alto,Medio,Muy alto,Medio
thailand,east and southeast asia,217261000000,80602000,55971000,3.2,Muy alto,Alto,Muy alto,Bajo
israel,middle east,214544000000,112437000,22612000,7.1,Muy alto,Alto,Alto,Muy alto
poland,europe,185515000000,103651000,64806000,5.2,Muy alto,Alto,Muy alto,Alto
indonesia,east and southeast asia,149118000000,37390000,70826000,3.5,Muy alto,Medio,Muy alto,Bajo
united kingdom,europe,148569000000,94280000,114749000,5.5,Muy alto,Alto,Muy alto,Alto
czechia,europe,141988000000,136306000,21802000,5.1,Muy alto,Muy alto,Alto,Alto
iran,middle east,120600000000,160779000,86058000,3.6,Muy alto,Muy alto,Muy alto,Bajo
canada,north america,117551000000,311599000,161988000,5.2,Muy alto,Muy alto,Muy alto,Alto
malaysia,east and southeast asia,112968000000,113163000,37220000,3.9,Muy alto,Alto,Muy alto,Bajo
denmark,europe,103239000000,98513000,20794000,6.4,Muy alto,Alto,Alto,Muy alto
germany,europe,96792000000,120457000,275658000,4.7,Muy alto,Muy alto,Muy alto,Medio
philippines,east and southeast asia,95251000000,17654000,29174000,3.7,Muy alto,Bajo,Alto,Bajo
